label,level_1,text
0,2662,i need to know what is the date today
0,3216,today is what day
0,2242,how late am i
0,868,i want exact time in washington right now
1,842,please adjust the colors in my lights
1,2532,olly make the lights blue please
1,1124,change the light in the bathroom to yellow
1,3155,what's up with this yellow light get some white up in here
2,8530,train tickets for two people from delhi to mumbai
2,8426,book me the cheapest train ticket to new york
2,8396,i need a ticket on the train to new york city tomorrow
2,8197,book a train ticket from los angeles to chicago that goes via miami
3,1054,what time can i pick up my food
3,1948,please see if chili's has delivery
3,2450,what is the status of my order
3,2968,will arby's offer takeaway
4,9811,how much did facebook stock increase last night
4,8871,tell me which stocks were the biggest gainers in stock market nasdaq today
4,9313,tell me the latest stock of pepsi
4,10077,how much does stock cost in walmart
5,943,hey olly what's up
5,748,good morning
5,467,hi
5,2444,how is everything
6,7837,please show me best run program in jodhpur
6,8096,events in the local area
6,8078,any runs on the west side
6,7952,what bands are playing in town this weekend
7,2429,hi google this song is too noisy
7,715,do not play this song again
7,2306,remember that i do not like this music
7,3356,i do not enjoy this song
8,3242,turn off the wemo plug socket
8,2796,please turn off my smart plug socket
8,3632,turn off the smart socket
8,156,turn off the rice cooker socket
9,6879,show results for cooking lasagna from web
9,6793,look for different recipes
9,6768,how do i cook a medium rare steak
9,6728,evaporated
10,9584,show conversion rate of u. s. d. and inr
10,9693,what's the dollar's exchange rate with the euro
10,9912,u. s. d. to g. b. p.
10,9315,what is the exchange rate between the dollar and the yen
11,8192,latest news on traffic at my current location
11,8182,how bad is the traffic near the airport
11,8415,what's traffic likexchange on four hundred and forty one
11,8533,check the traffic to our home
12,4389,file storage
12,4207,i would like to order a meal do have any special offers for sea food
12,4231,i ate breakfast this morning
12,4272,hey olly how's it going
13,3496,do i need umbrella now
13,1217,is it cold weather there
13,1259,is it going to freeze overnight
13,1443,are there going to be any showers tomorrow morning
14,3109,turn up the volume of my speakers
14,3998,please raise the volume of speaker
14,347,please increase the volume of the music hips don't lie
14,177,i can barely hear you olly
15,11309,can you add a new email to my contacts
15,11097,make a new contact with this email
15,10723,add doctor rosenstock as an email contact
15,11040,save that email as a new contact
16,3927,put an order in for two pizzas from dominoes
16,9115,give me the best pizza deals offered today
16,8972,call the closest mexican restaurant
16,2939,show me chinese food near me
17,10719,do i have the address for the apple store in my contacts
17,11463,what's rene phone number
17,11306,google chrome
17,11392,when was the last time that i spoke to john
18,213,set lights to full power
18,645,please increase the brightness in this room
18,1641,i need more light
18,964,more light please
19,7819,what are the vietnamese restaurants in the area
19,8142,any farm markets around with local products
19,8129,which restaurant is there in shivaji nagar
19,7938,best reviews restaurant in south sacramento
20,6545,play seven habits of effective people
20,6673,restart bill nye book
20,6687,continue playing where i left off
20,6579,i want to hear more audiobook
21,7191,create shopping list for target
21,7460,new scenario time or calendar to new list
21,7109,hey put carrots on that
21,7235,open my notes
22,810,what is the latest local news for the greenville area
22,808,find new trump articles but not from fox news
22,3469,people canceling iowa vacations over congressman's words
22,10241,what's going on here
23,3596,are there any alarms set
23,3033,at what time is my alarm set
23,2672,show me the alarms that are set
23,977,let me see my alarms
24,2629,wemo plug socket on
24,3259,can you turn on the wemo plug socket
24,875,start the smart plug
24,2053,turn on socket
25,2823,hey siri have you heard any funny jokes lately
25,2615,i want to hear a yo mama joke
25,3714,provide a joke
25,315,what's a silly joke you know
26,10122,give me a description of iron fist on netflix
26,10091,olly what does snafu mean
26,9663,give description of statue of liberty
26,9837,what does regal mean
27,10178,may i know what is trending in facebook
27,10291,what was the latest post
27,10179,may i know what is trending in twitter
27,10242,latest tweets
28,3481,please repeat the last song
28,3584,repeat previous song
28,1679,shuffle music by aaron carter
28,74,shuffle this playlist
29,805,give a pleasant sound
29,3375,volume settings please
29,1699,change volume
29,626,change the volume of the speakers
30,5975,go to the event day and delete
30,6084,cancel appointment for third of april
30,4787,i want you to remove the wedding on the tenth from my calendar
30,5736,please delete this event
31,1267,i would love a less bright up room
31,2723,make the lights less bright
31,3415,please turn down the lights in the living room
31,431,turn the lights down
32,4591,give me the address of my hairdresser for the meeting today
32,4867,when is my anniversary
32,5368,tell me what's going on tomorrow
32,4548,what's the name of the event
33,10709,compose an email to parisa
33,10666,link john at gmail dot com to john in contacts
33,11118,email to address
33,10803,between ten p. m. and seven am everyday all emails received has to be replied to
34,3773,start vacuum bot
34,3948,vacuum cleaner start
34,2746,start vacuuming now please
34,2385,turn the vacuum on
35,1967,lower speaker volume
35,711,turn off the bass from the audio
35,918,i want to slow down my speaker
35,927,make the volume lower
36,6501,i want the ryan seacrest show on the radio in the kitchen
36,6274,turn on the radio please
36,6241,turn on the radio olly
36,6418,please play red f. m.
37,4455,what to cook for lunch
37,9072,i need a recipe for chicken thighs for my pressure cooker
37,9899,what's the easiest and quickest way to cook a turkey
37,9077,olly can i use brown sugar instead of white in peanut butter cookies
38,3098,can you change my time zone to central
38,3781,change the time zone from irish time zone to moscow time zone
38,1581,it is ten am in eastern standard time what time it is now it pacific standard time
38,3554,now it's five thirty p. m. in india what about the time in ivory coast
39,9273,what is the square root of four
39,9474,what is two hundred divided by thirteen
39,9973,what is the result of one hundred minus fifty
39,9062,what is six times sixty eight
40,337,by remote sensor
40,1535,please turn off kitchen light for me
40,1812,turn off the living room lights
40,1756,lights off in the kitchen please
41,3872,turn on the lights
41,3685,please turn on the lights
41,1292,put the disco lights on
41,986,turn the lights on
42,8602,find a train going from prague to brno
42,8592,how long until we get to chicago
42,8661,when is the next train to london
42,8685,would like to know the time of train four
43,3031,save all of my preferences information specific to songs
43,3547,thumbs up this song
43,2901,i like soft rock music
43,2522,please save the remarks i have on this current song
44,11176,who was the last person to email me
44,10600,show new emails to me
44,10962,have i received any emails from beth
44,11008,open email check messages
45,1846,play purple haze
45,1561,play recently added music
45,756,play the footloose song
45,6411,play country
46,737,please pause yourself
46,2087,can you place the sound on mute
46,3322,turn off media volume
46,1920,mute the living room speakers
47,10530,complain to amazon customer service for me
47,10416,call the customer cell through phones for direct response
47,10505,make a complaint to target
47,10442,open my twitter account and tell sams club they made my cake order delicious
48,339,i need a reminder alarm at one
48,2377,i need to get up at seven am
48,1772,set the alarm for two hours from now
48,1711,alarm set for time
49,10140,what video game should i play next
49,9756,what is the cost of iphone seven
49,9746,just let me know the area of the asian continent
49,9389,what is angelina jolie's birthday
50,5169,set notification before this event
50,6102,ok google i need a meeting with the c. f. o. on thursday
50,5865,add a notification reminder and calendar event for thursday at seven am labeled sales meeting please
50,5833,call linda and remind her to pick me up for bowling
51,6960,i want you to play this game for me
51,6973,my games to play in my computers
51,6939,let's play space invaders together
51,6918,open solitaire play with me
52,1956,cancel the alarm that is set for tomorrow at eight am
52,676,delete my alarm for eight am
52,2204,cancel alarm for tenth of march two thousand seventeen
52,3112,ask them to remember always to lock the door and keep a careful watch on their keys
53,7296,delete shopping list
53,7102,remove mike stein from contacts list
53,7353,remove the last item
53,7297,can you remove my to do list
54,8269,hail taxi
54,8438,taxi now
54,8151,book me a cab olly
54,8671,call rta and book a taxi for three o'clock in the morning
55,7804,what time will a movie be shown tomorrow
55,7895,learning games
55,7875,show timings
55,8028,olly what movies are playing near me
56,801,olly i need coffee
56,3451,olly set coffee to brew at seven am
56,2541,i want coffee
56,2670,brew a pot of coffee
57,185,what is the song
57,2841,who's playing the oboe on this piece
57,151,what is this song
57,1295,what did she just sing
58,7709,play musician play list
58,7671,please play the podcast from happypeoplecom
58,7740,play podcast a
58,7667,start the podcast i was last listening to
59,7237,do i have an amazon list saved
59,7265,is there anything on my list today
59,7124,what is the number of food items on the list
59,7355,what to do lists do i have
